AUTOAUDIT,AUTOSTATUSDECOMP,MANUALAUDIT,MANUALSTATUS,FASTQFILENAME,RUNNUMBER,LIBRARYDATE,GENOTYPE1,STRAIN,PROTEINCODINGTOTAL,NOTALIGNEDTOTALPERCENT,INTERQUARTILE_RANGE,ABS_SAMPLE_DEVIATION_MEDIAN,GENOTYPE1COVERAGE,GENOTYPE1LOG2CPM,NATCOVERAGE,NATLOG2CPM,G418COVERAGE,G418LOG2CPM
FALSE,NA,TRUE,[128],s_2_withindex_sequence_cir1_1_37CO2.fastq.gz,480,2011-03-10,CNAG_04864,TDY1145,2841291,0.02725461937591600000,NA,NA,0.00000000000000000000,NA,0.93564356435643600000,6.01944855631378000000,0.00000000000000000000,-0.27643572078550200000
FALSE,NA,TRUE,[128],s_2_withindex_sequence_cir1_2_37CO2.fastq.gz,480,2011-03-10,CNAG_04864,TDY1145,2469432,0.02894770876336200000,NA,NA,0.00000000000000000000,NA,0.90099009900990100000,5.76883139076801000000,0.00000000000000000000,-0.27643572078550200000
FALSE,NA,FALSE,NA,run_659_s_3_withindex_sequence_TGTGCCA.fastq.gz,659,2012-02-13,CNAG_04864,TDY1145,3428208,0.01793520658803100000,0.3937964575623507,0,0.02938090241343100000,NA,0.89603960396039600000,7.23996074187357000000,0.00000000000000000000,-0.31714123494332400000
FALSE,NA,FALSE,NA,run_659_s_3_withindex_sequence_AACGGAG.fastq.gz,659,2012-02-13,CNAG_04864,TDY1145,1686774,0.01411128303635300000,0.41348258809211114,0,0.02518363064008400000,NA,0.88283828382838300000,7.86959557670431000000,0.05283018867924500000,0.50679342338039100000
FALSE,NA,FALSE,NA,run_659_s_3_withindex_sequence_GATAGTT.fastq.gz,659,2012-02-13,CNAG_04864,TDY1145,2912428,0.02137503179107300000,0.3201704973990882,0,0.02868135711787300000,NA,0.87953795379538000000,7.53303375671490000000,0.09559748427673000000,0.60426576885484300000
FALSE,NA,NA,NA,run_1660_s_4_withindex_sequence_CACCTCC.fastq.gz,1660,2015-08-10,CNAG_04864,TDY1145,15580022,0.03616970283070200000,0.2312354278409403,0,0.09653725078698900000,NA,0.80033003300330000000,8.02957153696816000000,0.69811320754717000000,0.46106105581199300000
FALSE,NA,NA,NA,run_1660_s_4_withindex_sequence_ATCGAGC.fastq.gz,1660,2015-08-10,CNAG_04864,TDY1145,6503942,0.03740868659689500000,0.24044843785069414,0,0.03497726477789400000,NA,0.81353135313531400000,8.48552581241837000000,0.12578616352201300000,-0.91277760694839000000
FALSE,NA,NA,NA,run_1660_s_4_withindex_sequence_TACTCTA.fastq.gz,1660,2015-08-10,CNAG_04864,TDY1145,8008692,0.03440490801379900000,0.3453596865328681,0.008781549574523595,0.01748863238894700000,NA,0.80693069306930700000,8.44458070846800000000,0.12578616352201300000,-1.09174253798503000000
TRUE,[0.0],TRUE,[128],s_4_sequence_G1p.fastq.gz,314,2010-04-20,CNAG_04864,TDY1145,861889,0.01842969439253700000,NA,NA,0.00000000000000000000,NA,0.92079207920792100000,6.88324905775961000000,0.00000000000000000000,0.89411578965520000000
TRUE,[0.0],TRUE,[128],s_4_sequence_G2p.fastq.gz,314,2010-04-20,CNAG_04864,TDY1145,532755,0.01367869525334700000,NA,NA,0.00000000000000000000,NA,0.62376237623762400000,5.30558169634382000000,0.00000000000000000000,0.89411578965519800000
FALSE,NA,NA,NA,1800_Brent_4_CACCTCC_S4_R1_001.fastq.gz,1800,2016-10-04,CNAG_04864,TDY1145,4822158,0.02123029575870200000,0.560762773790576,0.07073452202883157,0.04931794333683100000,NA,0.79372937293729400000,9.08179336843507000000,0.35094339622641500000,0.39599455417041100000
FALSE,NA,NA,NA,1800_Brent_5_ATCGAGC_S5_R1_001.fastq.gz,1800,2016-10-04,CNAG_04864,TDY1145,4730437,0.02622451940388300000,0.5257974791671458,0.045676511680150966,0.09653725078698900000,NA,0.80363036303630400000,9.39383302708689000000,0.86666666666666700000,2.36131878513516000000
FALSE,NA,NA,NA,1800_Brent_6_TACTCTA_S6_R1_001.fastq.gz,1800,2016-10-04,CNAG_04864,TDY1145,7077932,0.02725650086648700000,0.5204087428669606,0.06429008835793049,0.00000000000000000000,NA,0.78712871287128700000,9.29762252339501000000,0.96729559748427700000,2.49696559552777000000
