AUTO_AUDIT,STATUS_DECOMP,MANUALAUDIT,MANUALSTATUS,FASTQFILENAME,RUNNUMBER,LIBRARYDATE,GENOTYPE1,STRAIN,PROTEIN_CODING_TOTAL,NOT_ALIGNED_TOTAL_PERCENT,INTERQUARTILE_RANGE,ABS_SAMPLE_DEVIATION_MEDIAN,GENOTYPE1_COVERAGE,NAT_COVERAGE,NAT_LOG2CPM,G418_COVERAGE,G418_LOG2CPM
0,None,0,noOtherConditions,run_711_s_5_withindex_sequence_CTCACCC.fastq.gz,0711_5_0718_7,05.01.12,CNAG_05420,TDY1319,2100769,0.02170437670337599,0.20474419057750848,0,0.0257201646090535,0.066006600660066,0.5253291909647513,0.8981132075471698,7.28125379377491
0,None,0,noOtherConditions,run_711_s_5_withindex_sequence_TCGTGCG.fastq.gz,0711_5_0718_7,05.01.12,CNAG_05420,TDY1319,1470009,0.0138477586549814,0.3210206233012025,0,0.1286008230452675,0.06930693069306931,1.6272276448376712,0.9157232704402516,8.533377477698863
1,[4.0],0,noOtherConditions,run_711_s_5_withindex_sequence_TGACTCT.fastq.gz,0711_5_0718_7,05.01.12,CNAG_05420,TDY1319,2022277,0.01575075332388324,0.2650392861860289,0,0.07716049382716049,0.07095709570957096,2.7404068352521604,0.9081761006289308,8.98517281268768
0,None,0,noOtherConditions,run_718_s_7_withindex_sequence_CTCACCC.fastq.gz,0711_5_0718_7,05.01.12,CNAG_05420,TDY1319,3335691,0.02140907945523879,0.17599852458485032,0,0,0.066006600660066,0.6497948224704378,0.9207547169811321,7.419918553552343
0,None,0,noOtherConditions,run_718_s_7_withindex_sequence_TCGTGCG.fastq.gz,0711_5_0718_7,05.01.12,CNAG_05420,TDY1319,3216823,0.012761174514280476,0.24266274011431466,0,0,0.06930693069306931,1.538505210529517,0.8364779874213837,8.753135176374439
1,[4.0],0,noOtherConditions,run_718_s_7_withindex_sequence_TGACTCT.fastq.gz,0711_5_0718_7,05.01.12,CNAG_05420,TDY1319,2976696,0.015904008915331242,0.2620303377972426,0,0,0.07095709570957096,2.8734673550733185,0.8591194968553459,9.229593526644829
0,None,noOtherConditions,noOtherConditions,run_1045_s_7_withindex_sequence_CACCTCC.fastq.gz,1045,10.08.13,CNAG_05420,TDY1319,1296926,0.028336607323755075,0.6447601852642035,0,0,0.06930693069306931,2.1092956115666577,0.810062893081761,12.14103860917178
1,[4.0],noOtherConditions,noOtherConditions,run_1045_s_7_withindex_sequence_ATCGAGC.fastq.gz,1045,10.08.13,CNAG_05420,TDY1319,1503838,0.02325916407107225,NA,NA,0.0257201646090535,0.07260726072607261,2.5679933676662268,0.8188679245283019,12.427348883172359
1,[4.0],noOtherConditions,noOtherConditions,run_1045_s_7_withindex_sequence_TACTCTA.fastq.gz,1045,10.08.13,CNAG_05420,TDY1319,1745464,0.014944813340611266,NA,NA,0,0.019801980198019802,4.638654800519762,0.7786163522012579,11.986016064307634
1,[4.0],noOtherConditions,noOtherConditions,run_1755_s_6_withindex_sequence_GGCAGCG.fastq.gz,1755,11.16.15,CNAG_05420,TDY1319,9981286,0.037844807411699266,NA,NA,0.07767489711934156,0.297029702970297,3.369236202790204,0.7534591194968554,9.925546760537703
0,None,noOtherConditions,noOtherConditions,run_1755_s_6_withindex_sequence_CCATCAT.fastq.gz,1755,11.16.15,CNAG_05420,TDY1319,11674539,0.03344245045536474,0.4116459310575378,0,0.07716049382716049,0.23432343234323433,1.0163000009605836,0.8012578616352202,7.668504738573969
1,[4.0],noOtherConditions,noOtherConditions,run_1755_s_6_withindex_sequence_TAACAAG.fastq.gz,1755,11.16.15,CNAG_05420,TDY1319,8844182,0.03478681581880546,NA,NA,0.11728395061728394,0.21947194719471946,2.661065372158525,0.7987421383647799,9.680036967290096
1,[4.0],noOtherConditions,noOtherConditions,1800_Brent_10_GGCAGCG_S10_R1_001.fastq.gz,1800,10.04.16,CNAG_05420,TDY1319,7373511,0.016865500348381,NA,NA,0.038580246913580245,0.07260726072607261,2.6463852240676333,0.8377358490566038,7.534369691609669
0,None,noOtherConditions,noOtherConditions,1800_Brent_11_CCATCAT_S11_R1_001.fastq.gz,1800,10.04.16,CNAG_05420,TDY1319,4758741,0.023639794266667943,0.5587210924799597,0.1469516050289601,0,0.19471947194719472,2.2977909386763127,0.8955974842767296,7.415234133117194
1,[4.0],noOtherConditions,noOtherConditions,1800_Brent_12_TAACAAG_S12_R1_001.fastq.gz,1800,10.04.16,CNAG_05420,TDY1319,7496097,0.018484707941348325,NA,NA,0.07716049382716049,0.07425742574257425,4.234476516524305,0.7672955974842768,9.547635307073763
